match,result_link,download_link,downloaded
5F- Coclé vs Herrera,https://fedebeis.com.pa/5-cocle-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/03/5-FINAL.pdf,True
4 – Herrera vs Coclé,https://fedebeis.com.pa/4-herrera-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/03/4-1.pdf,True
3F – Herrera vs Coclé,https://fedebeis.com.pa/3f-herrera-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/03/3-1.pdf,True
2 – Coclé vs Herrea,https://fedebeis.com.pa/2-cocle-vs-herrea/,https://fedebeis.com.pa/wp-content/uploads/2020/03/2-1.pdf,True
1F – Coclé vs Herrera,https://fedebeis.com.pa/1f-cocle-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/1-F.pdf,True
14 – Coclé vs Oeste,https://fedebeis.com.pa/14-cocle-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/14-S.pdf,True
13 – Los Santos vs Herrera,https://fedebeis.com.pa/13-los-santos-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/13-S.pdf,True
12 – Oeste vs Cocle,https://fedebeis.com.pa/12-oeste-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/12-SEMI-FINAL-1.pdf,True
11 – Herrera vs Los Santos,https://fedebeis.com.pa/11-herrera-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/11-1.pdf,True
10 – Coclé vs Oeste,https://fedebeis.com.pa/10-cocle-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/02/10-1.pdf,True
9 – Los Santos vs Herrera,https://fedebeis.com.pa/9-los-santos-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/9-1.pdf,True
8 – Oeste vs Coclé,https://fedebeis.com.pa/8-oeste-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/8-1.pdf,True
7 – Herrera vs Los Santos,https://fedebeis.com.pa/7-herrera-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/7-1.pdf,True
6 – Oeste vs Coclé,https://fedebeis.com.pa/6-oeste-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/6-1.pdf,True
5 – Herrera vs Los Santos,https://fedebeis.com.pa/5-herrera-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/5-1.pdf,True
4 – Coclé vs Oeste,https://fedebeis.com.pa/4-cocle-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/02/4-1.pdf,True
3 – Coclé vs Oeste,https://fedebeis.com.pa/3-cocle-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/02/3-1.pdf,True
2 – Los Santos vs Herrera,https://fedebeis.com.pa/2-los-santos-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/2.pdf,True
1 – Los Santos vs Herrera,https://fedebeis.com.pa/1-los-santos-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/1.pdf,True
28 – Chiriquí vs Coclé,https://fedebeis.com.pa/28-chiriqui-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/28.pdf,True
26 – Chiriquí vs Coclé,https://fedebeis.com.pa/26-chiriqui-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/26.pdf,True
24 – Metro vs Los Santos,https://fedebeis.com.pa/24-metro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/24.pdf,True
22 – Metro vs Los Santos,https://fedebeis.com.pa/22-metro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/22-S-8-corregido.pdf,True
20 – Coclé vs Chiriquí,https://fedebeis.com.pa/20-cocle-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/02/20.pdf,True
19 – Oeste vs Este,https://fedebeis.com.pa/19-oeste-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/02/19.pdf,True
18 – Coclé vs Chiriquí,https://fedebeis.com.pa/18-cocle-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/02/18.pdf,True
17 – OEste vs Este,https://fedebeis.com.pa/17-oeste-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/02/17.pdf,True
16 – Los Santos vs Metro,https://fedebeis.com.pa/16-los-santos-vs-metro/,,False
15 – Herrera vs Veraguas,https://fedebeis.com.pa/15-herrera-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/02/15.pdf,True
14 – Coclé vs Chiriquí,https://fedebeis.com.pa/14-cocle-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/02/14.pdf,True
13 – Oeste vs Este,https://fedebeis.com.pa/13-oeste-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/02/13.pdf,True
12 – Los Santos vs Metro,https://fedebeis.com.pa/12-los-santos-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/02/12.pdf,True
11 – Herrera vs Veraguas,https://fedebeis.com.pa/11-herrera-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/02/11.pdf,True
10 – Los Santos vs Metro,https://fedebeis.com.pa/10-los-santos-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/02/10.pdf,True
9 – Herrera vs Veraguas,https://fedebeis.com.pa/9-herrera-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/02/9.pdf,True
8 – Chiriquí vs Coclé,https://fedebeis.com.pa/8-chiriqui-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/8.pdf,True
7 – Este vs Oeste,https://fedebeis.com.pa/7-este-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/02/7.pdf,True
6 – Chiriquí vs Coclé,https://fedebeis.com.pa/6-chiriqui-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/02/6.pdf,True
5 – Este vs Oeste,https://fedebeis.com.pa/5-este-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/02/5.pdf,True
4 – Metro vs Los Santos,https://fedebeis.com.pa/4-metro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/4.pdf,True
3 – Veraguas vs Herrera,https://fedebeis.com.pa/3-veraguas-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/3.pdf,True
2 – Metro vs Los Santos,https://fedebeis.com.pa/2-metro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/02/2-SERIE-DE-8.pdf,True
1 – Veraguas vs Herrera,https://fedebeis.com.pa/1-veraguas-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/02/1-SERIE-DE-8.pdf,True
*133 – Occidente vs Veraguas,https://fedebeis.com.pa/137-occidente-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/02/137.pdf,True
120 – Este vs Chiriquí,https://fedebeis.com.pa/120-este-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/120-1.pdf,True
108 – Coclé vs Occidente,https://fedebeis.com.pa/108-cocle-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/108.pdf,True
132 – Los Santos vs Chiriquí,https://fedebeis.com.pa/132-los-santos-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/132.pdf,True
131 – Metro vs Occidente,https://fedebeis.com.pa/131-metro-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/131.pdf,True
130 – Herrera vs Oeste,https://fedebeis.com.pa/130-herrera-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/130.pdf,True
129 – Colón vs Veraguas,https://fedebeis.com.pa/129-colon-vs-veraguas/,,False
128 – Darién vs Coclé,https://fedebeis.com.pa/128-darien-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/128.pdf,True
